time,rawContent
2021-09-30 13:06:19+00:00,$CHDN - Churchill Downs Incorporated Announces Historical Racing Machine Expansion In Downtown Louisville #General
2021-09-30 13:07:00+00:00,DailyUp5 $CHDN $290.00 21.55% 21.84% 38.28% 46.56% 89.84 $EFX $279.50 8.95% 5.42% 4.60% 17.71% 63.13 $SPCE $24.12 6.91% -6.69% -3.05% -56.02% 44.38
2021-09-30 13:07:06+00:00,Above5DaysMA $CHDN $290.00 21.55% 21.84% 38.28% 46.56% 89.84
2021-09-30 13:35:41+00:00,Nevada reports August statewide gaming win up 56.9% to $1.17B $BYD $MGM $CZR $CHDN $PENN $WYNN $LVS $GAN $PDYPY $WIMHY $DKNG
2021-09-30 18:24:44+00:00,"$FLL adding some here , waiting gaming approval Oct 11 chatter $CHDN has dropped out of bidding"
2021-09-30 21:29:22+00:00,Churchill Downs provides update on Louisiana operations reopenings $CHDN
2021-10-01 17:25:24+00:00,Bet On It: Louisiana sports betting process delayed by Hurricane Ida fallout $DKNG $CZR $BYD $BALY $ACEL $PDYPY $CHDN $BX $MGM $GENI $SGMS $EDR $GAN $LVS $PENN $RSI $SCR $WYNN
2021-10-02 03:38:20+00:00,overbought 9/23 $MRM $LIFE $MTNB $LPTX $BLU $ASAN $KDMN $TRIL $AMBA $TEAM $XLRN $BRKS $ECHO $RGEN $ITMR $SPSC $CHDN $ETTX $MEG $ASLEW
2021-10-02 22:17:02+00:00,OVERBOUGHT 9/26 $AEHR $LPTX $DMYI $MTNB $MDP $INMD $BLU $XLRN $BRKS $TEAM $TRIL $ECHO $ACY $PAG $MEG $SPSC $RGEN $ETTX $CHDN $NTZ $AEHR $LPTX $DMYI $MTNB $MDP $INMD $BLU $XLRN $BRKS $TEAM $TRIL $ECHO $ACY $PAG $MEG $SPSC $RGEN $ETTX $CHDN $NTZ
2021-10-06 08:33:33+00:00,$CHDN Keybanc analyst Brett Andress maintains Churchill Downs with a Overweight and raises the price target from $250 to $270.
2021-10-06 11:39:42+00:00,Churchill Downs price target raised to $270 from $250 at KeyBanc $CHDN
2021-10-08 19:57:37+00:00,Bet On It: Statewide sports betting delayed in Connecticut $HOOD $SGMS $SCR $PENN $GENI $MGM $BALY $CZR $DKNG $PDYPY $ACEL $BYD $CHDN $GAN $LVS $RSI $WYNN
2021-10-13 13:37:02+00:00,Stocking stuffers from here to December (cause you can’t get your gifts off the ships in LA) $SNOW $UPST $TSLA $CHDN $SE
2021-10-15 13:34:48+00:00,$CHDN 👀🤫
2021-10-15 14:00:30+00:00,$CHDN is breaking out above $225.59 with positive earnings and a target of $271.73.
2021-10-15 20:02:54+00:00,Bet On It: Promotions put profit on back burner in hopes for customer retention $GAN $SCR $PENN $DLB $MGM $DKNG $SGMS $SRAD $NFLX $AMZN $TWTR $PDYPY $DIS $RSI $ACEL $BALY $BYD $CZR $CHDN $LVS $WYNN
2021-10-18 19:25:46+00:00,New Jersey reports September gaming revenue up 40.3% to $453.6M $BYD $MGM $CZR $CHDN $PENN $WYNN $LVS $GAN $PDYPY $WIMHY $DKNG
2021-10-19 10:09:57+00:00,Churchill Downs initiated with a Buy at Berenberg $CHDN
2021-10-19 10:33:48+00:00,Berenberg starts Churchill Downs at Buy with $294 price target $CHDN
2021-10-19 11:43:53+00:00,$CHDN Berenberg analyst Zachary Silverberg initiates coverage on Churchill Downs with a Buy rating and announces Price Target of $294.
2021-10-22 20:08:15+00:00,Bet On It: Florida wins first of three lawsuits in path to legal sports betting $LVS $CZR $DKNG $SGMS $PENN $SCRM $GMVHF $RSI $PBTHF $PDYPY $MGM $GENI $CHDN $IGT $FUBO $ACEL $BYD $GAN $WYNN $MSGE
2021-10-27 13:34:58+00:00,Nevada reports September statewide gaming win up 41% to $1.16B $BYD $MGM $CZR $CHDN $PENN $WYNN $LVS $GAN $PDYPY $WIMHY $DKNG
2021-10-27 20:23:04+00:00,"$CHDN reported earnings of $1.61, consensus was $1.48"
2021-10-27 20:37:38+00:00,"Churchill Downs reports Q3 EPS $1.57, consensus $1.47 $CHDN"
2021-10-28 03:01:18+00:00,Earnings after 10/27 $ETD $LOB $CASH $KRA $CNMD $BRKL $ASGN $CUBI $AXTI $BCOV $CHDN $GSHD $PI $NGVT $FORM $JAKK $ILPT $ALGT $CMPR $THG $SIGI $FIX $TYL $UVE $CACI $MYRG $FWRD $GTY $JOE $HBNC $ORN $MSA $JBT $NOA $BHE $MORN $STC $CSV $UVSP $ZVO $CPSH $CYBE $CLBK
2021-10-28 03:42:52+00:00,Insider buying 10/27 $CNMD $BRKL $ASGN $CUBI $AXTI $BCOV $CHDN $GSHD $PI $NGVT $FORM $JAKK $ILPT $ALGT $CMPR $THG $SIGI $FIX $TYL $UVE $CACI $MYRG $FWRD $GTY $JOE $HBNC $ORN $MSA $JBT $NOA $BHE $MORN $STC $CSV $UVSP $ZVO $CPSH $CYBE $CLBK
2021-10-28 22:15:21+00:00,Churchill Downs Incorporated $CHDN held an earnings call on 10/28/2021. Here are the highlights:
2021-10-29 20:00:10+00:00,Bet On It: New York casino talks begin ahead of required legislative approvals $SGMS $BBU $MGM $LVS $DKNG $GMVHF $BYD $CHDN $PDYPY $PENN $ACEL $BALY $CZR $GAN $GENI $RSI $SCR $WYNN $FUBO
2021-10-30 02:26:33+00:00,$chdn at 221 not a bad look
